Symbol,Name,결산월,회계년,주기,asset,conm,regist_num,year
A085310,엔케이,12,2018,Annual,205486074 ,(주)엔케이,603-81-06888,2018
A085310,엔케이,12,2019,Annual,145821945 ,(주)엔케이,603-81-06888,2019
A085310,엔케이,12,2020,Annual,,(주)엔케이,603-81-06888,2020
A085310,엔케이,12,2021,Annual,,(주)엔케이,603-81-06888,2021
A002870,신풍제지,12,2017,Annual,153484813 ,신풍제지(주),125-81-05545,2017
A002870,신풍제지,12,2018,Annual,167283571 ,신풍제지(주),125-81-05545,2018
A002870,신풍제지,12,2019,Annual,185645915 ,신풍제지(주),125-81-05545,2019
A002870,신풍제지,12,2020,Annual,,신풍제지(주),125-81-05545,2020
A002870,신풍제지,12,2021,Annual,,신풍제지(주),125-81-05545,2021
A003650,미창석유,12,2017,Annual,280843555 ,미창석유공업(주),601-81-08046,2017
A003650,미창석유,12,2018,Annual,283167976 ,미창석유공업(주),601-81-08046,2018
A003650,미창석유,12,2019,Annual,295367498 ,미창석유공업(주),601-81-08046,2019
A003650,미창석유,12,2020,Annual,,미창석유공업(주),601-81-08046,2020
A003650,미창석유,12,2021,Annual,,미창석유공업(주),601-81-08046,2021
A040160,누리텔레콤,12,2017,Annual,139977165 ,(주)누리텔레콤,116-81-34196,2017
A040160,누리텔레콤,12,2018,Annual,128568000 ,(주)누리텔레콤,116-81-34196,2018
A040160,누리텔레콤,12,2019,Annual,128558142 ,(주)누리텔레콤,116-81-34196,2019
A040160,누리텔레콤,12,2020,Annual,,(주)누리텔레콤,116-81-34196,2020
A040160,누리텔레콤,12,2021,Annual,,(주)누리텔레콤,116-81-34196,2021
A318410,비비씨,12,2017,Annual,39110609 ,비비씨(주),314-81-98760,2017
A318410,비비씨,12,2018,Annual,40145029 ,비비씨(주),314-81-98760,2018
A318410,비비씨,12,2019,Annual,47131780 ,비비씨(주),314-81-98760,2019
A318410,비비씨,12,2020,Annual,,비비씨(주),314-81-98760,2020
A318410,비비씨,12,2021,Annual,,비비씨(주),314-81-98760,2021
A104620,노랑풍선,12,2017,Annual,100337496 ,(주)노랑풍선,104-81-64440,2017
A104620,노랑풍선,12,2018,Annual,98461420 ,(주)노랑풍선,104-81-64440,2018
A104620,노랑풍선,12,2019,Annual,114981929 ,(주)노랑풍선,104-81-64440,2019
A104620,노랑풍선,12,2020,Annual,,(주)노랑풍선,104-81-64440,2020
A104620,노랑풍선,12,2021,Annual,,(주)노랑풍선,104-81-64440,2021
A303030,지니틱스,12,2017,Annual,24183055 ,(주)지니틱스,846-81-01097,2017
A303030,지니틱스,12,2018,Annual,28110965 ,(주)지니틱스,846-81-01097,2018
A303030,지니틱스,12,2019,Annual,42753858 ,(주)지니틱스,846-81-01097,2019
A303030,지니틱스,12,2020,Annual,,(주)지니틱스,846-81-01097,2020
A303030,지니틱스,12,2021,Annual,,(주)지니틱스,846-81-01097,2021
A044960,이글벳,12,2017,Annual,49767855 ,(주)이글벳,218-81-15398,2017
A044960,이글벳,12,2018,Annual,46110740 ,(주)이글벳,218-81-15398,2018
A044960,이글벳,12,2019,Annual,45944755 ,(주)이글벳,218-81-15398,2019
A044960,이글벳,12,2020,Annual,,(주)이글벳,218-81-15398,2020
A044960,이글벳,12,2021,Annual,,(주)이글벳,218-81-15398,2021
A095910,에스에너지,12,2017,Annual,301905196 ,(주)에스에너지,206-81-54253,2017
A095910,에스에너지,12,2018,Annual,320447393 ,(주)에스에너지,206-81-54253,2018
A095910,에스에너지,12,2019,Annual,327670045 ,(주)에스에너지,206-81-54253,2019
A095910,에스에너지,12,2020,Annual,,(주)에스에너지,206-81-54253,2020
A095910,에스에너지,12,2021,Annual,,(주)에스에너지,206-81-54253,2021
A008250,이건산업,12,2017,Annual,439283119 ,이건산업(주),131-81-06200,2017
A008250,이건산업,12,2018,Annual,434159077 ,이건산업(주),131-81-06200,2018
A008250,이건산업,12,2019,Annual,422594845 ,이건산업(주),131-81-06200,2019
A008250,이건산업,12,2020,Annual,,이건산업(주),131-81-06200,2020
A008250,이건산업,12,2021,Annual,,이건산업(주),131-81-06200,2021
A214270,퓨쳐스트림네트웍스,12,2017,Annual,37993333 ,(주)퓨쳐스트림네트웍스,220-88-95545,2017
A214270,퓨쳐스트림네트웍스,12,2018,Annual,189631623 ,(주)퓨쳐스트림네트웍스,220-88-95545,2018
A214270,퓨쳐스트림네트웍스,12,2019,Annual,196990249 ,(주)퓨쳐스트림네트웍스,220-88-95545,2019
A214270,퓨쳐스트림네트웍스,12,2020,Annual,,(주)퓨쳐스트림네트웍스,220-88-95545,2020
A214270,퓨쳐스트림네트웍스,12,2021,Annual,,(주)퓨쳐스트림네트웍스,220-88-95545,2021
A092600,앤씨앤,12,2017,Annual,60379404 ,(주)앤씨앤,213-86-31520,2017
A092600,앤씨앤,12,2018,Annual,54329936 ,(주)앤씨앤,213-86-31520,2018
A092600,앤씨앤,12,2019,Annual,71516824 ,(주)앤씨앤,213-86-31520,2019
A092600,앤씨앤,12,2020,Annual,,(주)앤씨앤,213-86-31520,2020
A092600,앤씨앤,12,2021,Annual,,(주)앤씨앤,213-86-31520,2021
A143540,영우디에스피,12,2017,Annual,162503252 ,(주)영우디에스피,129-81-69992,2017
A143540,영우디에스피,12,2018,Annual,109698409 ,(주)영우디에스피,129-81-69992,2018
A143540,영우디에스피,12,2019,Annual,111870864 ,(주)영우디에스피,129-81-69992,2019
A143540,영우디에스피,12,2020,Annual,,(주)영우디에스피,129-81-69992,2020
A143540,영우디에스피,12,2021,Annual,,(주)영우디에스피,129-81-69992,2021
A237820,플레이디,12,2017,Annual,91202941 ,(주)플레이디,129-86-43885,2017
A237820,플레이디,12,2018,Annual,90006397 ,(주)플레이디,129-86-43885,2018
A237820,플레이디,12,2019,Annual,97299209 ,(주)플레이디,129-86-43885,2019
A237820,플레이디,12,2020,Annual,,(주)플레이디,129-86-43885,2020
A237820,플레이디,12,2021,Annual,,(주)플레이디,129-86-43885,2021
A056730,포스링크,12,2017,Annual,70786708 ,(주)포스링크,120-81-68259,2017
A056730,포스링크,12,2018,Annual,66721234 ,(주)포스링크,120-81-68259,2018
A056730,포스링크,12,2019,Annual,28192798 ,(주)포스링크,120-81-68259,2019
